stadium,city,country,latitude,longitude,capacity
Mercedes-Benz Stadium,"Atlanta, GA",USA,33.755371,-84.401436,75000
Gillette Stadium,"Boston, MA",USA,42.09079,-71.264404,65878
AT&T Stadium,"Dallas, TX",USA,32.748138,-97.093231,92967
MetLife Stadium,"East Rutherford, NJ",USA,40.813477,-74.074951,87157
Estadio Akron,"Guadalajara, MX",Mexico,20.681721,-103.463135,48071
NRG Stadium,"Houston, TX",USA,29.684702,-95.410965,72220
GEHA Field at Arrowhead Stadium,"Kansas City, MO",USA,39.048855,-94.484474,76640
SoFi Stadium,"Los Angeles, CA",USA,33.953438,-118.339447,70240
Estadio Banorte,"Mexico City, MX",Mexico,19.302837,-99.150803,87523
Hard Rock Stadium,"Miami, FL",USA,25.95783,-80.239326,67518
Estadio BBVA,"Monterrey, MX",Mexico,25.669132,-100.244621,53460
Lincoln Financial Field,"Philadelphia, PA",USA,39.901325,-75.167862,69328
Levi's Stadium,"Santa Clara, CA",USA,37.403297,-121.969765,70909
Lumen Field,"Seattle, WA",USA,47.595135,-122.331917,69000
BMO Field,"Toronto, ON",Canada,43.633087,-79.418961,45736
BC Place,"Vancouver, BC",Canada,49.276646,-123.112564,54500
