team,squad_size,avg_age,wc_participations,foreigners_pct,market_value
France,26,27.0,17,73.1 %,€1.52bn
England,26,27.2,17,19.2 %,€1.36bn
Spain,26,26.8,18,34.6 %,€1.22bn
Portugal,26,28.1,10,80.8 %,€1.01bn
Germany,26,28.1,21,26.9 %,€947.00m
Brazil,26,29.4,23,73.1 %,€928.20m
Argentina,26,29.1,20,92.3 %,€807.50m
Netherlands,26,27.8,12,92.3 %,€754.20m
Norway,26,26.8,4,84.6 %,€589.90m
Belgium,26,27.6,15,88.5 %,€547.50m
Ivory Coast,26,25.9,4,100.0 %,€522.10m
Senegal,26,27.1,4,100.0 %,€478.10m
Turkiye,26,27.7,3,42.3 %,€473.70m
Morocco,26,26.6,8,92.3 %,€447.70m
Sweden,26,27.6,13,88.5 %,€406.08m
Croatia,26,28.4,7,92.3 %,€387.30m
United States,26,26.9,12,73.1 %,€385.65m
Ecuador,26,26.1,5,92.3 %,€368.70m
Uruguay,26,28.8,16,100.0 %,€359.30m
Switzerland,26,28.3,13,92.3 %,€332.50m
Colombia,26,30.1,7,96.2 %,€302.35m
Japan,26,27.5,8,88.5 %,€270.85m
Algeria,26,26.9,5,88.5 %,€256.90m
Austria,26,28.6,9,88.5 %,€245.20m
Ghana,27,26.8,5,96.3 %,€234.60m
Canada,26,27.0,3,92.3 %,€198.65m
Mexico,26,27.9,18,53.8 %,€191.85m
Czechia,26,27.7,2,34.6 %,€188.18m
Scotland,26,29.2,9,69.2 %,€170.25m
Paraguay,26,29.1,10,88.5 %,€153.65m
Bosnia-Herzegovina,26,26.5,2,96.2 %,€146.40m
Democratic Republic of the Congo,26,29.1,1,100.0 %,€143.90m
South Korea,26,28.1,12,73.1 %,€139.05m
Egypt,26,29.1,4,34.6 %,€116.48m
Uzbekistan,26,28.5,1,42.3 %,€85.33m
Australia,26,27.4,7,80.8 %,€77.45m
Tunisia,26,26.7,7,76.9 %,€69.95m
Haiti,26,27.6,2,96.2 %,€55.90m
Cape Verde,26,29.7,1,100.0 %,€54.50m
South Africa,26,26.8,4,26.9 %,€49.25m
Saudi Arabia,26,28.5,7,3.8 %,€40.68m
Panama,26,30.5,2,92.3 %,€34.55m
New Zealand,26,28.1,3,69.2 %,€34.35m
Iran,26,30.4,7,34.6 %,€32.05m
Curaçao,26,28.1,1,100.0 %,€25.78m
Iraq,26,26.9,2,61.5 %,€21.20m
Jordan,26,28.5,1,53.8 %,€20.30m
Qatar,26,29.5,2,3.8 %,€19.93m
